age,workclass,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
1, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States,0
0, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,1
1, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,0
0, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Puerto-Rico,0
0, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48, United-States,0
0, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,1,0,40, United-States,0
0, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,1,0,40, United-States,0
0, ?, 7th-8th, Married-spouse-absent, ?, Not-in-family, White, Male,0,0,40, ?,0
1, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,0
0, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States,1
0, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
0, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
1, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,1
1, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,1
0, ?, Some-college, Never-married, ?, Own-child, White, Male,0,0,40, United-States,0
0, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,32, United-States,0
0, Private, Bachelors, Separated, Sales, Own-child, Black, Female,0,0,40, United-States,0
0, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,0
0, Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,20, United-States,0
0, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Mexico,0
0, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,0
0, ?, 10th, Married-civ-spouse, ?, Husband, White, Male,0,0,2, United-States,0
0, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,22, United-States,0
1, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States,0
1, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States,0
0, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,1,0,40, United-States,1
1, Private, HS-grad, Divorced, Sales, Own-child, White, Female,0,0,35, United-States,0
1, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,1
0, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,0
0, Federal-gov, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,1
1, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
0, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,25, United-States,0
0, Private, HS-grad, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,1,35, ?,0
0, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,1
0, Local-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States,0
1, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1,60, United-States,1
0, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States,1
1, Private, Assoc-acdm, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, England,0
0, Federal-gov, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States,0
0, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
0, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,1,0,60, United-States,1
1, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,0
0, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States,0
0, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
0, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,1,0,40, United-States,1
0, ?, 10th, Never-married, ?, Own-child, White, Female,1,0,32, United-States,0
0, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,0
0, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
0, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0
0, Private, Bachelors, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States,0
0, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
1, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,1,50, Canada,1
0, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States,0
1, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States,0
1, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0
1, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,1
1, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,56, United-States,0
0, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,41, United-States,0
0, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States,0
0, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,0
0, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Germany,0
0, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,1
0, Private, Some-college, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States,0
1, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,1
0, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,1,28, United-States,0
0, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,1
0, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States,0
0, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
0, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States,0
0, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,1,40, United-States,0
0, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0
1, Private, Assoc-acdm, Divorced, Tech-support, Not-in-family, Black, Female,0,0,36, United-States,0
0, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran,1
0, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States,0
0, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States,0
0, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States,0
1, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,1
0, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,0
0, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,30, Mexico,0
0, Private, Some-college, Never-married, Tech-support, Other-relative, White, Male,0,0,40, United-States,0
0, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female,0,0,30, United-States,0
0, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,24, United-States,0
0, Private, HS-grad, Widowed, Other-service, Unmarried, White, Female,0,0,24, United-States,0
1, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1,40, United-States,0
0, ?, Some-college, Divorced, ?, Not-in-family, White, Female,0,0,40, United-States,0
1, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, Mexico,0
0, Private, Bachelors, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines,0
0, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States,0
1, ?, HS-grad, Divorced, ?, Not-in-family, White, Male,0,0,45, United-States,1
1, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46, United-States,0
0, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0
0, Self-emp-not-inc, Some-college, Separated, Sales, Unmarried, Black, Male,0,1,2, United-States,0
0, Private, Bachelors, Separated, Other-service, Other-relative, Black, Male,0,0,50, United-States,0
0, ?, 1st-4th, Divorced, ?, Not-in-family, White, Female,0,0,20, United-States,0
0, Self-emp-inc, Masters, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States,0
0, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, England,0
1, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,1
0, Federal-gov, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States,0
1, State-gov, Masters, Widowed, Protective-serv, Unmarried, White, Male,0,0,40, United-States,0
0, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, United-States,0
0, Local-gov, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States,0
0, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,1,40, United-States,0
0, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,0
1, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1,40, United-States,1
0, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States,0
0, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
0, Private, HS-grad, Married-spouse-absent, Sales, Unmarried, White, Female,0,0,25, United-States,0
0, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States,0
0, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States,0
0, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States,0
0, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65, United-States,0
0, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,38, United-States,1
0, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
0, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States,0
0, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,1
0, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,42, United-States,1
0, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States,0
0, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,0
1, ?, Bachelors, Divorced, ?, Not-in-family, White, Female,0,0,50, United-States,0
0, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States,0
1, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,1, United-States,1
0, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,28, United-States,0
0, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0
0, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,0
1, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States,0
0, Federal-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24, United-States,0
0, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
0, Federal-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,1,0,55, United-States,1
0, Private, Masters, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,1,0,40, United-States,1
0, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,0
0, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,1,40, United-States,0
1, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,1
0, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,1,40, United-States,0
0, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,0
0, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male,1,0,36, United-States,1
0, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States,0
0, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,12, United-States,0
0, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States,0
0, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1
0, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States,0
1, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,0
1, Self-emp-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,1
0, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, United-States,1
1, Private, Assoc-acdm, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States,0
0, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Poland,0
1, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States,0
0, Private, 10th, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
1, ?, 1st-4th, Divorced, ?, Not-in-family, White, Male,0,0,40, United-States,0
1, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,20, United-States,0
1, Local-gov, Preschool, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States,0
0, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,0
1, ?, 10th, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, United-States,0
0, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,1,0,50, United-States,0
0, Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, Columbia,0
0, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
0, Private, 11th, Separated, Transport-moving, Not-in-family, Black, Male,1,0,40, United-States,0
0, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,38, United-States,0
0, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,42, United-States,0
0, Private, Some-college, Divorced, Craft-repair, Other-relative, Other, Female,0,0,40, United-States,0
0, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States,1
1, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States,0
0, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States,0
0, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Iran,1
0, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States,1
0, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States,0
0, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
0, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States,0
0, State-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States,0
0, ?, Some-college, Never-married, ?, Own-child, White, Male,0,0,20, United-States,0
0, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,1,40, United-States,0
1, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,35, ?,0
1, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States,1
0, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,34, United-States,0
0, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male,0,1,60, United-States,1
1, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, ?,0
0, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States,1
0, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, United-States,0
1, Local-gov, 10th, Widowed, Other-service, Unmarried, Black, Female,0,0,30, United-States,0
0, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States,0
1, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,20, United-States,0
0, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia,1
0, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States,0
0, Private, HS-grad, Separated, Other-service, Not-in-family, White, Female,0,0,30, United-States,0
1, Private, Assoc-voc, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States,0
1, Private, 7th-8th, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
0, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States,0
1, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States,0
0, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States,0
1, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,1,0,40, United-States,0
0, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
0, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,75, Thailand,1
0, ?, Some-college, Never-married, ?, Own-child, White, Male,0,0,24, Canada,0
0, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States,0
1, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
0, Private, 9th, Never-married, Other-service, Own-child, White, Male,1,0,24, United-States,0
1, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,1,0,98, United-States,0
0, Local-gov, Masters, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States,0
0, Private, HS-grad, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States,0
0, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States,0
0, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,1,0,40, United-States,1
0, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,0
0, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States,0
0, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,1,0,48, United-States,1
0, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,15, Germany,0
0, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,1,0,40, United-States,1
0, Private, Assoc-acdm, Divorced, Sales, Unmarried, Black, Female,0,0,45, United-States,0
1, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,42, United-States,0
0, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,0
1, Federal-gov, Masters, Married-civ-spouse, Sales, Husband, White, Male,1,0,40, United-States,1
0, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States,1
0, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,0
1, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador,0
0, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States,0
0, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,0
0, Local-gov, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male,0,0,56, United-States,0
0, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,45, United-States,0
0, Private, Bachelors, Never-married, Tech-support, Unmarried, Black, Female,0,0,40, United-States,0
0, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,16, United-States,0
0, Self-emp-inc, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,0,60, United-States,0
0, ?, Masters, Married-civ-spouse, ?, Wife, Asian-Pac-Islander, Female,1,0,40, ?,0
0, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,0
0, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,80, United-States,0
1, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,1,0,40, United-States,1
0, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,25, United-States,0
1, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,1,0,40, United-States,1
0, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40, Laos,0
0, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
0, Private, Assoc-acdm, Never-married, Tech-support, Not-in-family, White, Male,0,0,45, United-States,0
1, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,33, United-States,0
0, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,1
0, Self-emp-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, United-States,1
0, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,0
